edge_id:int,source_id:int,target_id:int,label_id:int
39920,950,949,48
39921,950,28599,48
19685,1503,949,48
8597731,2193,257,48
8597732,2193,9855,48
611930,2632,2634,48
3116,2871,2634,48
3117,2871,2872,49
116794,2872,2634,48
89099,3947,257,48
89100,3947,258,49
6203,5443,257,48
6204,5443,2193,49
6205,5443,5445,49
15159116,5445,257,48
15159117,5445,2193,49
452003,6535,257,48
452004,6535,258,49
8229,7090,257,48
8230,7090,258,49
2745575,9722,44390,48
11894,9854,257,48
11895,9854,9855,48
2305742,10702,257,48
2305743,10702,258,49
15042072,10733,257,48
15042073,10733,2193,49
829951,12853,2634,48
222526,13049,257,48
222527,13049,258,49
570615,13050,257,48
570616,13050,258,49
48822,15023,257,48
48823,15023,258,49
26770,20342,257,48
26772,20342,9854,49
26771,20342,9855,48
17177276,20347,257,48
17177277,20347,9854,49
2328918,21488,257,48
2328919,21488,258,49
1497997,21489,257,48
1497998,21489,258,49
35682,25966,257,48
35683,25966,258,49
1482279,28243,257,48
1482280,28243,258,49
592975,28599,949,48
42570,30179,257,48
42571,30179,258,49
75926,30571,257,48
75927,30571,258,49
47468,33077,949,48
2295537,33830,257,48
2295538,33830,258,49
91361,37508,257,48
91362,37508,258,49
454134,37520,15195,49
454133,37520,6526,48
9807807,37557,2634,48
9807808,37557,2872,49
139724,40298,257,48
139725,40298,258,49
1639130,49539,257,48
1639131,49539,258,49
133981,50081,949,48
11908613,50339,6526,48
11908614,50339,6527,49
77975,50348,15195,49
77974,50348,6526,48
3868505,50349,15195,49
1605870,50350,15195,49
1605869,50350,6526,48
82097,52746,257,48
82099,52746,52747,49
82098,52746,9855,48
12829276,52748,257,48
12829277,52748,52747,49
10338921,52749,257,48
10338922,52749,52747,49
82253,52845,257,48
82254,52845,9855,48
1604933,53465,6526,48
1604934,53465,6527,49
2070941,53466,6526,48
587396,53467,6527,49
86637,55235,257,48
86638,55235,258,49
456144,55413,257,48
456145,55413,258,49
88241,56037,2632,49
88242,56037,2634,48
1239209,56312,257,48
1239210,56312,258,49
90321,57236,257,48
90322,57236,9854,49
667435,57237,257,48
667437,57237,9854,49
667436,57237,9855,48
1618754,57812,257,48
92336,58278,46509,48
92337,58278,58279,48
5453744,58279,46509,48
92365,58285,46509,48
92366,58285,58279,48
95232,59773,257,48
95233,59773,258,49
95440,59864,257,48
95441,59864,258,49
4987291,59866,257,48
4987292,59866,258,49
95554,59912,949,48
8126350,59914,9722,48
8126352,59914,44390,48
5990629,60844,46509,48
5990630,60844,58279,48
4864953,60845,46509,48
4864954,60845,58279,48
97976,61157,46509,48
97977,61157,58279,48
97978,61157,58285,49
110248,67294,46509,48
10521757,67295,46509,48
10521758,67295,58279,48
110952,67296,46509,48
110953,67296,58285,49
4739843,67297,46509,48
568666,68146,46509,48
112521,68396,257,48
112522,68396,65859,49
5832718,68400,257,48
5832719,68400,65859,49
113044,68645,257,48
113045,68645,258,49
116796,70577,56958,48
116797,70577,70578,49
116803,70579,2634,48
116804,70579,2872,49
117949,71122,257,48
117950,71122,2193,49
117951,71122,5445,49
8604394,71123,257,48
8604395,71123,2193,49
8604396,71123,5445,49
8884535,71124,257,48
8884536,71124,2193,49
8884537,71124,5445,49
119030,71630,257,48
119031,71630,258,49
119452,71841,257,48
119453,71841,2193,49
119454,71841,10733,49
3624237,71842,257,48
3624238,71842,2193,49
3624239,71842,10733,49
119511,71867,257,48
119512,71867,2193,49
119513,71867,10733,49
10780077,73329,257,48
10780079,73329,52845,49
10780078,73329,9855,48
460864,73343,257,48
460865,73343,258,49
122983,73702,949,48
122984,73702,28599,48
123779,74123,949,48
125091,74124,949,48
123793,74134,9722,49
123792,74134,44390,48
123847,74163,949,48
2034440,74164,949,48
123904,74202,949,48
2034444,74203,949,48
1647884,74735,46509,48
2285432,74736,46509,48
455218,76503,257,48
455219,76503,258,49
129233,77159,257,48
129234,77159,258,49
134490,79766,257,48
134491,79766,258,49
3229695,86570,149070,49
3229699,86570,44390,49
151673,88414,257,48
151674,88414,258,49
172617,98027,257,48
172618,98027,258,49
4124562,98028,257,48
4124563,98028,258,49
179379,101020,257,48
179380,101020,2193,49
179381,101020,101021,49
896658,101021,257,48
896659,101021,2193,49
341877,143557,13526,48
341878,143557,143558,49
5285546,143558,236393,48
9022763,143559,236393,48
827779,143560,13526,49
495577,145018,257,48
495578,145018,258,49
474916,149541,257,48
474917,149541,258,49
358471,150518,257,48
358472,150518,258,49
366796,153049,949,48
3578313,153051,949,48
370282,154474,257,48
370283,154474,258,49
1095912,158886,257,48
1095913,158886,258,49
382766,160079,46509,48
382767,160079,58278,49
1648258,160081,46509,48
1648279,160082,46509,48
