vertex_id:int,label_id:int,attr:string,rand:int
257,1,Animal,7
258,1,Chordate,5
949,1,Plant,5
950,1,Flowering_plant,6
1359,1,Mollusca,2
1503,1,Fagales,1
2193,1,Arthropod,2
2632,1,Heterokont,7
2634,1,SAR_supergroup,0
2871,1,Apicomplexa,3
2872,1,Alveolate,6
3947,1,Even-toed_ungulate,0
5443,1,Branchiopoda,6
5444,1,Brachiopod,2
5445,1,Crustacean,6
6526,1,Bacteria,8
6527,1,Firmicutes,7
6535,1,Buteo,9
6980,1,Vertebrate,0
6981,1,Gnathostomata,2
7090,1,Northern_bobwhite,3
9722,1,Viridiplantae,8
9723,1,Chlorophyta,9
9854,1,Cnidaria,7
9855,1,Eumetazoa,3
10702,1,Sciuromorpha,2
10733,1,Hexapoda,9
12853,1,Cercozoa,1
13049,1,Diprotodontia,9
13050,1,Vombatiformes,4
13526,1,Excavate,8
14600,1,Amoebozoa,4
15023,1,Odd-toed_ungulate,5
15195,1,Proteobacteria,0
20342,1,Hydra_(genus),6
20347,1,Capitata_(Hydrozoa),0
21488,1,Myomorpha,1
21489,1,Cricetidae,5
25966,1,Common_kestrel,4
28243,1,Muridae,9
28599,1,Embryophyte,3
30179,1,Manatee,4
30571,1,Deer,5
33077,1,Orchidaceae,4
33830,1,Laurasiatheria,4
34420,1,Flatworm,7
37508,1,Lagomorpha,6
37520,1,Myxobacteria,8
37557,1,Ciliate,9
40298,1,Songbird,5
44390,1,Archaeplastida,2
46509,1,Fungus,1
49539,1,Pipidae,6
50081,1,Fagaceae,1
50339,1,Acetobacterium,5
50348,1,Bdellovibrio,9
50349,1,Deltaproteobacteria,4
50350,1,Bdellovibrionaceae,9
52722,1,Polychaete,9
52746,1,Siboglinidae,1
52747,1,Annelid,7
52748,1,Palpata,7
52749,1,Canalipalpata,1
52827,1,Incertae_sedis,1
52845,1,Echinoderm,5
53465,1,Clostridia,7
53466,1,Clostridiaceae,7
53467,1,Clostridium,6
55235,1,Treeshrew,7
55413,1,Caprimulgiformes,6
56037,1,Diatom,5
56312,1,Erinaceidae,6
56958,1,Chromalveolata,3
57236,1,Coral,9
57237,1,Anthozoa,4
57812,1,Glires,8
58278,1,Ascomycota,1
58279,1,Dikarya,2
58285,1,Basidiomycota,9
59773,1,Goose,3
59864,1,Mole_(animal),9
59866,1,Soricomorpha,0
59912,1,Zygnematales,8
59914,1,Zygnematophyceae,8
60844,1,Agaricomycotina,5
60845,1,Agaricomycetes,0
61157,1,Hymenomycete,9
65859,1,Nematode,1
67294,1,Gymnosporangium,5
67295,1,Pucciniomycetes,9
67296,1,Rust_(fungus),8
67297,1,Pucciniaceae,4
68146,1,Agaricales,8
68396,1,Trichuris_trichiura,1
68400,1,Trichuris,3
68645,1,Tetrapod,0
70577,1,Cryptomonad,7
70578,1,Hacrobia,6
70579,1,Dinoflagellate,3
71122,1,Daphnia,1
71123,1,Cladocera,7
71124,1,Daphniidae,5
71630,1,Grouse,2
71841,1,Protura,1
71842,1,Entognatha,7
71867,1,Diplura,8
73329,1,Echinozoa,8
73343,1,Apodiformes,3
73702,1,Fern,1
74123,1,Lycopodiopsida,8
74124,1,Lycopodiophyta,9
74134,1,Vascular_plant,6
74163,1,Selaginella,4
74164,1,Isoetopsida,3
74202,1,Isoetes,3
74203,1,Isoetales,3
74735,1,Pezizomycotina,8
74736,1,Sordariomycetes,6
76503,1,Pelecaniformes,6
77159,1,Hummingbird,3
79766,1,Stork,0
86570,1,Porphyra,5
88414,1,Amphiuma,2
98027,1,‘Elepaio,7
98028,1,Passerida,7
101020,1,Millipede,5
101021,1,Myriapoda,4
143557,1,Giardia,8
143558,1,Sarcomastigophora,1
143559,1,Zoomastigophora,2
143560,1,Diplomonad,8
145018,1,Heron,1
149070,1,Red_algae,6
149541,1,Western_marsh_harrier,2
150518,1,Phalarope,8
153049,1,Ephedra_distachya,9
153051,1,Ephedra_(plant),0
154474,1,Shrew,8
158886,1,Rhinoceros,1
160079,1,Penicillium,0
160081,1,Eurotiales,4
160082,1,Trichocomaceae,0
161560,1,Horned_owl,3
162657,1,Phytophthora_infestans,9
162658,1,Oomycete,3
162660,1,Pythiaceae,3
162661,1,Phytophthora,8
162897,1,Kelp,0
162898,1,Brown_algae,5
163391,1,Oriolus,6
164637,1,Amazon_river_dolphin,6
164638,1,Iniidae,4
164639,1,Inia,0
167045,1,Marasmiaceae,2
176259,1,Suliformes,0
177131,1,Amanitaceae,7
177132,1,Amanita,5
177966,1,Centipede,4
183749,1,Siberian_stonechat,0
184206,1,Belted_kingfisher,2
184996,1,Common_pheasant,0
185046,1,Conoidasida,9
185047,1,Eucoccidiorida,1
185048,1,Sarcocystidae,9
185528,1,Great_spotted_woodpecker,6
186410,1,Anser_(bird),9
186413,1,Greater_white-fronted_goose,9
186627,1,Huperzia,3
186628,1,Huperziaceae,6
186963,1,Huperzia_porophila,0
187329,1,Lycopodiaceae,2
189070,1,Prorocentrales,3
189071,1,Dinophyceae,5
190529,1,Rallidae,1
190725,1,Rhizaria,4
191483,1,Screamer,2
191559,1,Hopping_mouse,6
193018,1,Sunbittern,1
193494,1,Giardia_lamblia,8
194236,1,American_crow,2
194694,1,Oxyurinae,8
194738,1,Stiff-tailed_duck,8
195050,1,American_white_pelican,6
195257,1,Macropodiformes,8
195866,1,Dusky_hopping_mouse,3
196120,1,Spinifex_hopping_mouse,8
197864,1,Pelagic_cormorant,3
198062,1,Stilt,3
199320,1,Sulidae,0
199950,1,Tadorninae,4
200376,1,Sylvioidea,7
201239,1,Leaf_warbler,0
201240,1,Phylloscopidae,6
202041,1,Alopochen,8
202800,1,Fin_whale,7
202893,1,Bryde's_whale,9
203167,1,Eurasian_teal,8
203600,1,Humpback_whale,7
203952,1,Tundra_swan,9
204109,1,Fucus_vesiculosus,8
204110,1,Fucales,3
204111,1,Fucaceae,0
204112,1,Fucus,1
204394,1,Green_warbler,7
204397,1,Greenish_warbler,8
206491,1,White-faced_ibis,5
206698,1,Owlet-nightjar,7
207356,1,Desmidiales,4
208468,1,Sea_cucumber,5
208812,1,Colubridae,3
209661,1,Tiger_salamander,5
210473,1,Barn_owl,7
213989,1,Elephant_shrew,8
216226,1,Muscovy_duck,2
219548,1,Hypocreales,1
219683,1,Common_moorhen,9
219685,1,Common_gallinule,6
220082,1,Ruddy_duck,7
220382,1,Barrow's_goldeneye,3
220556,1,Lapwing,1
221261,1,Tunicate,1
221775,1,Tringa,9
221781,1,South_Asian_river_dolphin,0
221787,1,La_Plata_dolphin,5
221788,1,Baiji,6
222215,1,Lesser_scaup,7
223224,1,Yellow-crowned_night_heron,7
223238,1,Green_heron,4
223726,1,Eurasian_curlew,8
223784,1,Snowy_egret,9
224211,1,Black-winged_stilt,6
224938,1,Ground_sloth,0
224939,1,Sloth,7
225415,1,Common_ringed_plover,0
226259,1,Polyporales,0
229201,1,Gymnosperm,0
234419,1,Antarctic_minke_whale,4
234421,1,Minke_whale,1
234442,1,Common_minke_whale,9
234773,1,Boletales,9
234774,1,Agaricomycetidae,8
235768,1,Ustilaginomycetes,8
235769,1,Ustilaginales,5
235770,1,Ustilago,8
235869,1,Crayfish_plague,4
235872,1,Aphanomyces,3
236392,1,Pfiesteria_piscicida,3
236393,1,Protist,8
236396,1,Pfiesteria,0
237332,1,Afrosoricida,9
239025,1,American_coot,1
239029,1,Porzana,1
239965,1,White-beaked_dolphin,0
241266,1,Nectriaceae,0
241545,1,Wilson's_snipe,8
242423,1,Common_sandpiper,4
245048,1,Willow_ptarmigan,6
245690,1,Accipiter,4
246199,1,Pelomedusidae,9
246848,1,Skink,7
247097,1,Phyllopharyngea,0
247200,1,Suctoria,6
249914,1,Greater_sage-grouse,8
249916,1,Centrocercus,5
250997,1,Black_scoter,5
251338,1,Fucus_distichus,4
252087,1,Cryptomonas,1
252088,1,Cryptomonadales,5
252255,1,Phymaturus,5
252536,1,Tubulinea,3
252694,1,Sooty_shearwater,8
254163,1,Eurasian_rock_pipit,2
254495,1,Lygosominae,2
255167,1,Hume's_leaf_warbler,7
