edge_id:int64,source_id:int64,target_id:int64,label_id:int,graph_id:int
2,0,2,49,0
1,1,0,125,0
2,0,2,48,1
1,1,0,125,1
2,0,2,48,2
1,1,0,49,2
2,0,2,49,3
1,1,0,52,3
2,0,2,48,4
1,1,0,50,4
2,0,2,49,5
1,1,0,51,5
2,0,2,48,6
1,1,0,51,6
2,0,2,48,7
1,1,0,52,7
1,1,0,49,8
2,2,1,50,8
1,1,0,49,9
2,2,1,50,9
1,1,0,49,10
2,2,1,50,10
1,1,0,49,11
2,2,1,50,11
1,1,0,49,12
2,2,1,50,12
1,1,0,49,13
2,2,1,50,13
1,1,0,49,14
2,2,1,50,14
1,1,0,49,15
2,2,1,50,15
1,1,0,49,16
2,2,1,50,16
1,1,0,49,17
2,2,1,50,17
1,1,0,49,18
2,2,1,50,18
2,0,2,49,19
1,1,0,52,19
3,2,3,48,19
2,0,2,49,20
1,1,0,52,20
3,1,3,125,20
3,0,3,48,21
1,1,0,49,21
2,2,0,49,21
3,0,3,48,22
1,1,0,49,22
2,1,2,50,22
2,0,2,49,23
3,0,3,51,23
1,1,0,52,23
3,0,3,49,24
1,1,0,50,24
2,2,0,50,24
2,0,2,48,25
3,0,3,49,25
1,1,0,51,25
3,0,3,49,26
1,1,0,52,26
2,1,2,49,26
3,0,3,49,27
1,1,0,51,27
2,1,2,49,27
3,0,3,48,28
1,1,0,50,28
2,2,0,50,28
3,0,3,49,29
1,1,0,51,29
2,1,2,48,29
2,0,2,49,30
1,1,0,52,30
3,1,3,48,30
3,0,3,49,31
1,1,0,51,31
2,2,0,51,31
2,0,2,49,32
3,0,3,48,32
1,1,0,52,32
2,0,2,49,33
1,1,0,52,33
3,3,2,49,33
3,0,3,49,34
1,1,0,52,34
2,2,0,52,34
3,0,3,49,35
1,1,0,51,35
2,1,2,50,35
2,0,2,49,36
1,1,0,52,36
3,1,3,50,36
2,0,2,49,37
1,1,0,52,37
3,1,3,51,37
1,1,0,49,38
2,1,2,50,38
3,3,1,50,38
1,1,0,49,39
2,1,2,50,39
3,3,1,50,39
1,1,0,49,40
2,1,2,50,40
3,3,1,50,40
1,1,0,49,41
2,1,2,50,41
3,3,1,50,41
1,1,0,49,42
2,1,2,50,42
3,3,1,50,42
1,1,0,49,43
2,1,2,50,43
3,3,1,50,43
1,1,0,49,44
2,1,2,50,44
3,3,1,50,44
1,1,0,49,45
2,1,2,50,45
3,3,1,50,45
1,1,0,49,46
2,1,2,50,46
3,3,1,50,46
1,1,0,49,47
2,1,2,49,47
3,3,1,52,47
1,1,0,49,48
2,1,2,49,48
3,3,1,52,48
1,1,0,49,49
2,1,2,49,49
3,3,1,52,49
1,1,0,49,50
2,1,2,49,50
3,3,1,52,50
1,1,0,49,51
2,1,2,49,51
3,3,1,52,51
1,1,0,49,52
2,1,2,49,52
3,3,1,52,52
1,1,0,49,53
2,1,2,49,53
3,3,1,52,53
1,1,0,49,54
2,1,2,49,54
3,3,1,52,54
1,1,0,49,55
2,1,2,49,55
3,3,1,52,55
1,1,0,49,56
2,1,2,49,56
3,3,1,52,56
1,1,0,49,57
2,1,2,49,57
3,3,1,52,57
1,1,0,48,58
2,1,2,48,58
3,3,1,49,58
1,1,0,48,59
2,1,2,48,59
3,3,1,49,59
1,1,0,48,60
2,1,2,48,60
3,3,1,49,60
1,1,0,48,61
2,1,2,48,61
3,3,1,49,61
1,1,0,48,62
2,1,2,48,62
3,3,1,49,62
1,1,0,48,63
2,1,2,48,63
3,3,1,49,63
1,1,0,48,64
2,1,2,48,64
3,3,1,49,64
1,1,0,48,65
2,1,2,48,65
3,3,1,49,65
1,1,0,49,66
2,1,2,49,66
3,3,1,51,66
1,1,0,49,67
2,1,2,49,67
3,3,1,51,67
1,1,0,49,68
2,1,2,49,68
3,3,1,51,68
1,1,0,49,69
2,1,2,49,69
3,3,1,51,69
1,1,0,49,70
2,1,2,49,70
3,3,1,51,70
1,1,0,49,71
2,1,2,49,71
3,3,1,51,71
1,1,0,49,72
2,1,2,49,72
3,3,1,51,72
1,1,0,49,73
2,1,2,49,73
3,3,1,51,73
1,1,0,49,74
2,1,2,49,74
3,3,1,51,74
1,1,0,49,75
2,1,2,49,75
3,3,1,51,75
1,1,0,49,76
