type,x_id,x_attr,y_id,y_attr,edge_label,c,gar_id
Edge,1,,2,,49,,0
Edge,1,,2,,48,,1
Edge,1,,2,,48,,2
Edge,1,,2,,49,,3
Edge,1,,2,,48,,4
Edge,1,,2,,49,,5
Edge,1,,2,,48,,6
Edge,1,,2,,48,,7
Edge,2,,0,,49,,8
Edge,2,,0,,49,,9
Edge,2,,0,,49,,10
Edge,2,,0,,49,,11
Edge,2,,0,,49,,12
Edge,2,,0,,49,,13
Edge,2,,0,,49,,14
Edge,2,,0,,49,,15
Edge,2,,0,,49,,16
Edge,2,,0,,49,,17
Edge,2,,0,,49,,18
Edge,1,,2,,49,,19
Edge,1,,2,,49,,20
Edge,1,,3,,48,,21
Edge,1,,3,,48,,22
Edge,1,,2,,49,,23
Edge,1,,3,,49,,24
Edge,1,,3,,49,,25
Edge,1,,3,,49,,26
Edge,1,,3,,49,,27
Edge,1,,3,,48,,28
Edge,1,,3,,49,,29
Edge,1,,2,,49,,30
Edge,1,,3,,49,,31
Edge,1,,2,,49,,32
Edge,1,,2,,49,,33
Edge,1,,3,,49,,34
Edge,1,,3,,49,,35
Edge,1,,2,,49,,36
Edge,1,,2,,49,,37
Edge,3,,0,,49,,38
Edge,3,,0,,49,,39
Edge,3,,0,,49,,40
Edge,3,,0,,49,,41
Edge,3,,0,,49,,42
Edge,3,,0,,49,,43
Edge,3,,0,,49,,44
Edge,3,,0,,49,,45
Edge,3,,0,,49,,46
Edge,3,,0,,49,,47
Edge,3,,0,,49,,48
Edge,3,,0,,49,,49
Edge,3,,0,,49,,50
Edge,3,,0,,49,,51
Edge,3,,0,,49,,52
Edge,3,,0,,49,,53
Edge,3,,0,,49,,54
Edge,3,,0,,49,,55
Edge,3,,0,,49,,56
Edge,3,,0,,49,,57
Edge,3,,0,,48,,58
Edge,3,,0,,48,,59
Edge,3,,0,,48,,60
Edge,3,,0,,48,,61
Edge,3,,0,,48,,62
Edge,3,,0,,48,,63
Edge,3,,0,,48,,64
Edge,3,,0,,48,,65
Edge,3,,0,,49,,66
Edge,3,,0,,49,,67
Edge,3,,0,,49,,68
Edge,3,,0,,49,,69
Edge,3,,0,,49,,70
Edge,3,,0,,49,,71
Edge,3,,0,,49,,72
Edge,3,,0,,49,,73
Edge,3,,0,,49,,74
Edge,3,,0,,49,,75
Edge,3,,0,,49,,76
