edge_id:int,source_id:int,target_id:int,label_id:int,inc_state:int
39920,950,949,48,1
39921,950,28599,48,1
19685,1503,949,48,1
8597731,2193,257,48,1
8597732,2193,9855,48,1
611930,2632,2634,48,1
3116,2871,2634,48,1
3117,2871,2872,49,1
116794,2872,2634,48,1
89099,3947,257,48,1
89100,3947,258,49,1
6203,5443,257,48,1
6204,5443,2193,49,1
6205,5443,5445,49,1
15159116,5445,257,48,1
15159117,5445,2193,49,1
452003,6535,257,48,1
452004,6535,258,49,1
8229,7090,257,48,1
8230,7090,258,49,1
2745575,9722,44390,48,1
11894,9854,257,48,0
11895,9854,9855,48,1
2305742,10702,257,48,1
2305743,10702,258,49,1
15042072,10733,257,48,1
15042073,10733,2193,49,1
829951,12853,2634,48,1
222526,13049,257,48,1
222527,13049,258,49,1
570615,13050,257,48,2
570616,13050,258,49,2
48822,15023,257,48,1
48823,15023,258,49,1
26770,20342,257,48,1
26772,20342,9854,49,1
26771,20342,9855,48,1
17177276,20347,257,48,1
17177277,20347,9854,49,1
2328918,21488,257,48,1
2328919,21488,258,49,1
1497997,21489,257,48,1
1497998,21489,258,49,1
35682,25966,257,48,1
35683,25966,258,49,1
1482279,28243,257,48,1
1482280,28243,258,49,1
592975,28599,949,48,1
42570,30179,257,48,1
42571,30179,258,49,1
75926,30571,257,48,0
75927,30571,258,49,1
47468,33077,949,48,1
2295537,33830,257,48,1
2295538,33830,258,49,1
91361,37508,257,48,0
91362,37508,258,49,1
454134,37520,15195,49,1
454133,37520,6526,48,1
9807807,37557,2634,48,1
9807808,37557,2872,49,1
139724,40298,257,48,1
139725,40298,258,49,1
1639130,49539,257,48,1
1639131,49539,258,49,1
133981,50081,949,48,1
11908613,50339,6526,48,1
11908614,50339,6527,49,1
77975,50348,15195,49,1
77974,50348,6526,48,1
3868505,50349,15195,49,1
1605870,50350,15195,49,1
1605869,50350,6526,48,1
82097,52746,257,48,1
82099,52746,52747,49,1
82098,52746,9855,48,1
12829276,52748,257,48,1
12829277,52748,52747,49,1
10338921,52749,257,48,1
10338922,52749,52747,49,0
82253,52845,257,48,1
82254,52845,9855,48,1
1604933,53465,6526,48,1
1604934,53465,6527,49,1
2070941,53466,6526,48,1
587396,53467,6527,49,1
86637,55235,257,48,1
86638,55235,258,49,1
456144,55413,257,48,1
456145,55413,258,49,1
88241,56037,2632,49,1
88242,56037,2634,48,2
1239209,56312,257,48,1
1239210,56312,258,49,2
90321,57236,257,48,1
90322,57236,9854,49,1
667435,57237,257,48,1
667437,57237,9854,49,0
667436,57237,9855,48,1
1618754,57812,257,48,1
92336,58278,46509,48,1
92337,58278,58279,48,0
5453744,58279,46509,48,1
92365,58285,46509,48,1
92366,58285,58279,48,1
95232,59773,257,48,2
95233,59773,258,49,1
95440,59864,257,48,1
95441,59864,258,49,1
4987291,59866,257,48,1
4987292,59866,258,49,1
95554,59912,949,48,0
8126350,59914,9722,48,1
8126352,59914,44390,48,1
5990629,60844,46509,48,1
5990630,60844,58279,48,1
4864953,60845,46509,48,2
4864954,60845,58279,48,1
97976,61157,46509,48,1
97977,61157,58279,48,1
97978,61157,58285,49,1
110248,67294,46509,48,1
10521757,67295,46509,48,1
10521758,67295,58279,48,1
110952,67296,46509,48,0
110953,67296,58285,49,1
4739843,67297,46509,48,1
568666,68146,46509,48,1
112521,68396,257,48,1
112522,68396,65859,49,0
5832718,68400,257,48,1
5832719,68400,65859,49,1
113044,68645,257,48,1
113045,68645,258,49,1
116796,70577,56958,48,1
116797,70577,70578,49,1
116803,70579,2634,48,1
116804,70579,2872,49,1
117949,71122,257,48,1
117950,71122,2193,49,1
117951,71122,5445,49,1
8604394,71123,257,48,1
8604395,71123,2193,49,1
8604396,71123,5445,49,1
8884535,71124,257,48,1
8884536,71124,2193,49,1
8884537,71124,5445,49,1
119030,71630,257,48,1
119031,71630,258,49,1
119452,71841,257,48,1
119453,71841,2193,49,1
119454,71841,10733,49,1
3624237,71842,257,48,1
3624238,71842,2193,49,1
3624239,71842,10733,49,1
119511,71867,257,48,1
119512,71867,2193,49,0
119513,71867,10733,49,1
10780077,73329,257,48,2
10780079,73329,52845,49,1
10780078,73329,9855,48,1
460864,73343,257,48,1
460865,73343,258,49,1
122983,73702,949,48,1
122984,73702,28599,48,1
123779,74123,949,48,1
125091,74124,949,48,1
123793,74134,9722,49,1
123792,74134,44390,48,1
123847,74163,949,48,1
2034440,74164,949,48,1
123904,74202,949,48,1
2034444,74203,949,48,1
1647884,74735,46509,48,1
2285432,74736,46509,48,1
455218,76503,257,48,1
455219,76503,258,49,1
129233,77159,257,48,1
129234,77159,258,49,1
134490,79766,257,48,1
134491,79766,258,49,1
3229695,86570,149070,49,1
3229699,86570,44390,49,1
151673,88414,257,48,1
151674,88414,258,49,1
172617,98027,257,48,1
172618,98027,258,49,1
4124562,98028,257,48,1
4124563,98028,258,49,1
179379,101020,257,48,1
179380,101020,2193,49,1
179381,101020,101021,49,1
896658,101021,257,48,1
896659,101021,2193,49,1
341877,143557,13526,48,0
341878,143557,143558,49,1
5285546,143558,236393,48,1
9022763,143559,236393,48,0
827779,143560,13526,49,1
495577,145018,257,48,1
495578,145018,258,49,1
474916,149541,257,48,1
474917,149541,258,49,1
358471,150518,257,48,1
358472,150518,258,49,1
366796,153049,949,48,1
3578313,153051,949,48,1
370282,154474,257,48,1
370283,154474,258,49,1
1095912,158886,257,48,1
1095913,158886,258,49,1
382766,160079,46509,48,1
382767,160079,58278,49,1
1648258,160081,46509,48,1
1648279,160082,46509,48,1
386078,161560,257,48,1
386079,161560,258,49,1
388735,162657,56958,48,1
388736,162657,2632,49,1
505738,162658,2632,49,1
505739,162658,2634,48,1
4552964,162660,56958,48,1
4552965,162660,2632,49,1
752232,162661,56958,48,1
752233,162661,2632,49,1
389420,162897,2632,49,1
389422,162897,2634,48,1
490744,162898,2634,48,1
390679,163391,257,48,1
390680,163391,258,49,0
393992,164637,257,48,1
393993,164637,258,49,1
575103,164638,257,48,1
575104,164638,258,49,1
662223,164639,257,48,1
662224,164639,258,49,1
3177901,167045,46509,48,1
12734381,176259,257,48,1
12734382,176259,258,49,1
2151444,177131,46509,48,2
506386,177132,46509,48,1
426477,177966,257,48,1
426478,177966,2193,49,1
426479,177966,101021,49,1
438562,183749,257,48,1
438563,183749,258,49,1
439756,184206,257,48,1
439757,184206,258,49,1
441612,184996,257,48,1
441613,184996,258,49,2
5815816,185046,2871,49,1
5815817,185046,2634,48,1
5815818,185046,2872,49,2
5857039,185047,2871,49,1
5857042,185047,2634,48,1
5857043,185047,2872,49,1
3864323,185048,2871,49,1
3864327,185048,2634,48,2
3864328,185048,2872,49,1
442966,185528,257,48,1
442967,185528,258,49,1
2491070,186410,257,48,1
2491071,186410,258,49,1
445208,186413,257,48,1
445209,186413,258,49,1
445819,186627,949,48,1
447412,186628,949,48,1
446642,186963,949,48,1
447633,187329,949,48,1
451668,189070,70579,49,2
451670,189070,2872,49,1
9786423,189071,2634,48,1
9786422,189071,70579,49,1
9786424,189071,2872,49,1
455458,190529,257,48,1
455459,190529,258,49,1
1196280,190725,2634,48,1
457864,191483,257,48,1
457865,191483,258,49,1
458085,191559,257,48,1
458086,191559,258,49,1
