edge_id:int,source_id:int,target_id:int,label_id:int,inc_state:int
89102,1,7174,50,1
89103,1,2,51,2
89101,1,259,50,2
452007,3,7091,50,1
452010,3,25969,51,1
8233,4,7091,50,1
8238,4,7095,51,1
909733,7978,34281,50,1
10127915,7979,75883,50,1
2305745,5,7174,50,1
2305744,5,259,50,1
2305746,5,6941,51,1
222528,6,259,50,1
570618,7,35366,50,1
570617,7,259,50,1
570620,7,6,51,1
48825,8,7174,50,1
48826,8,2,51,1
48824,8,259,50,1
893315,17368,5667,50,1
26775,9,20345,50,1
26777,9,10,51,1
26774,9,20344,50,1
17177279,10,20345,50,1
17177278,10,20344,50,1
2328921,11,7174,50,1
2328920,11,259,50,1
2328922,11,6941,51,1
1498000,12,7174,50,1
1498002,12,11,51,1
1497999,12,259,50,1
1498003,12,55236,51,1
1498001,12,6941,51,1
35686,13,7091,50,1
35691,13,25969,51,1
1482281,14,259,50,1
1482282,14,6941,51,1
7830674,29248,34281,50,0
42573,15,7174,50,1
42572,15,259,50,1
42916,30362,5667,50,1
519361,30379,5667,50,1
75929,16,7174,50,1
75930,16,1,51,1
75928,16,259,50,1
47470,17,33078,51,1
2295540,2,35366,50,1
2295541,2,7174,50,1
2295539,2,259,50,1
49624,34279,34281,50,1
50392,34654,5667,50,1
50450,34656,5667,50,2
50430,34657,5667,50,1
51154,34671,5667,50,0
1694265,34672,5667,50,1
50441,34675,5667,50,1
51056,34676,5667,50,1
73575,34677,5667,50,1
8059369,34681,5667,50,2
5555518,35079,5667,50,1
91364,18,7174,50,2
91365,18,19,51,1
91363,18,259,50,1
91367,18,55236,51,1
454135,20,21,50,1
422888,39093,73130,50,1
840934,40261,78573,50,1
13800633,40268,78573,50,1
139727,22,40297,51,1
5341258,42381,149158,50,1
7215049,42382,75883,50,1
66055,43570,10805,50,1
1155231,44003,5667,50,1
67136,44188,44189,50,1
71099,46405,5667,50,1
1389289,46410,5667,50,1
5098966,47712,5667,50,1
1639133,23,88415,50,1
1639135,23,24,51,1
1639132,23,173,50,1
1639134,23,10149,51,1
133983,25,26,51,1
11908615,27,28,50,1
11908616,27,28,51,1
11908617,27,29,52,1
77976,30,21,50,1
77977,30,31,51,2
77978,30,31,52,1
1605871,31,21,50,1
1605872,31,31,51,1
82100,32,33,50,1
82101,32,34,50,1
82102,32,35,51,1
12829278,34,33,50,1
10338923,35,33,50,0
83397,53464,28,50,1
83398,53464,28,51,1
83399,53464,36,52,1
83400,53464,37,125,1
2070943,36,28,50,1
2070944,36,28,51,1
587397,37,28,50,1
587398,37,28,51,1
587399,37,36,52,1
86640,38,7174,50,1
86639,38,259,50,1
86641,38,55236,51,1
