vertex_id:int,label_id:int,attr:string,rand:int
173,1,Amphibian,6
257,1,Animal,7
258,1,Chordate,5
259,1,Mammal,3
949,1,Plant,5
950,1,Flowering_plant,6
1359,1,Mollusca,2
1360,1,Gastropoda,9
26,1,Fagales,1
2193,1,Arthropod,2
2632,1,Heterokont,7
2634,1,SAR_supergroup,0
2860,1,Xenarthra,9
2871,1,Apicomplexa,3
2872,1,Alveolate,6
1,1,Even-toed_ungulate,0
58,1,Branchiopoda,6
5444,1,Brachiopod,2
5445,1,Crustacean,6
5667,1,Sports_car,1
6526,1,Bacteria,8
6527,1,Firmicutes,7
3,1,Buteo,9
6941,1,Rodent,2
6980,1,Vertebrate,0
6981,1,Gnathostomata,2
4,1,Northern_bobwhite,3
7091,1,Neognathae,7
7095,1,Fowl,5
7174,1,Eutheria,9
7978,1,Bentley_Continental_GT,2
7979,1,Bentley_Mulsanne_(2010),2
9722,1,Viridiplantae,8
9723,1,Chlorophyta,9
9854,1,Cnidaria,7
9855,1,Eumetazoa,3
10149,1,Frog,6
10653,1,Commercial_vehicle,1
5,1,Sciuromorpha,2
10733,1,Hexapoda,9
10805,1,Heavy_cruiser,3
12853,1,Cercozoa,1
6,1,Diprotodontia,9
7,1,Vombatiformes,4
13051,1,Extinction,7
13526,1,Excavate,8
221,1,Amoebozoa,4
8,1,Odd-toed_ungulate,5
15195,1,Proteobacteria,0
17368,1,Ford_GT,3
17370,1,Group_6_(racing),6
19597,1,Reptile,1
19598,1,Squamata,0
9,1,Hydra_(genus),6
20344,1,Hydrozoa,3
20345,1,Leptolinae,2
10,1,Capitata_(Hydrozoa),0
21396,1,Sport_utility_vehicle,6
11,1,Myomorpha,1
12,1,Cricetidae,5
25896,1,Lizard,5
13,1,Common_kestrel,4
25969,1,Neoaves,7
26191,1,Supercar,6
27175,1,Anseriformes,5
27176,1,Anatidae,6
14,1,Muridae,9
68,1,Embryophyte,3
29248,1,Ferrari_California,7
15,1,Manatee,4
30362,1,Mazda_MX-5,5
30379,1,Mazda_RX-8,2
16,1,Deer,5
17,1,Orchidaceae,4
33078,1,Asparagales,7
2,1,Laurasiatheria,4
34045,1,Propeller,4
34279,1,Porsche_928,3
34281,1,Grand_tourer,0
34420,1,Flatworm,7
34654,1,Porsche_944,8
34656,1,Porsche_924,6
34657,1,Porsche_968,8
34671,1,Porsche_Boxster,8
34672,1,Porsche_Cayman,4
34675,1,Porsche_912,3
34676,1,Porsche_356,1
34677,1,Porsche_914,4
34681,1,Porsche_911,9
35079,1,Ruf_RK_Coupe,2
35366,1,Theria,0
18,1,Lagomorpha,6
20,1,Myxobacteria,8
37557,1,Ciliate,9
39093,1,HMS_Endeavour,2
40254,1,Crossover_(automobile),6
40261,1,Subaru_Impreza,6
40268,1,Subaru_Impreza_(second_generation),4
40297,1,Passerine,9
22,1,Songbird,5
40677,1,Salamander,0
42381,1,Tatra_97,4
42382,1,Tatra_603,8
42902,1,Truck,7
43570,1,USS_Indianapolis_(CA-35),1
44003,1,Volkswagen_1-litre_car,7
44188,1,Viroid,2
44189,1,Virus_classification,7
44390,1,Archaeplastida,2
46405,1,Nissan_Z-car,2
46410,1,Datsun_Sports,6
46509,1,Fungus,1
47712,1,Porsche_914-6_GT,0
23,1,Pipidae,6
25,1,Fagaceae,1
27,1,Acetobacterium,5
30,1,Bdellovibrio,9
21,1,Deltaproteobacteria,4
31,1,Bdellovibrionaceae,9
52715,1,Patrol_boat,0
33,1,Polychaete,9
32,1,Siboglinidae,1
52747,1,Annelid,7
34,1,Palpata,7
35,1,Canalipalpata,1
317,1,Incertae_sedis,1
52845,1,Echinoderm,5
53464,1,Clostridium_botulinum,9
28,1,Clostridia,7
36,1,Clostridiaceae,7
37,1,Clostridium,6
38,1,Treeshrew,7
55236,1,Euarchontoglires,3
39,1,Caprimulgiformes,6
292,1,Diatom,5
40,1,Erinaceidae,6
56958,1,Chromalveolata,3
41,1,Coral,9
42,1,Anthozoa,4
19,1,Glires,8
58278,1,Ascomycota,1
58279,1,Dikarya,2
1242,1,Basidiomycota,9
43,1,Goose,3
44,1,Mole_(animal),9
45,1,Soricomorpha,0
46,1,Zygnematales,8
47,1,Zygnematophyceae,8
60844,1,Agaricomycotina,5
53,1,Agaricomycetes,0
273,1,Hymenomycete,9
62515,1,AMC_Gremlin,6
62519,1,AMC_Spirit,3
62520,1,Subcompact_car,8
62528,1,AMC_Eagle,5
62529,1,AMC_Hornet,6
62530,1,AMC_Concord,1
65859,1,Nematode,1
48,1,Gymnosporangium,5
49,1,Pucciniomycetes,9
50,1,Rust_(fungus),8
51,1,Pucciniaceae,4
52,1,Agaricales,8
55,1,Trichuris_trichiura,1
68397,1,Adenophorea,0
56,1,Trichuris,3
